# Verifier-regime taxonomy across the classified anchors (fresh ). C is the confidence attached to
# the regime coordinate and the decision is the one the frozen rule returns; the two are distinct
# objects, and on seed13 they differ---the rule declines to decide and extends the probe instead.
# Fresh is the gain of the arm the decision actually executed, not of a fixed reference arm.
# Re-emitted from manuscript_p2_optical_engineering.tex; the numbers are the paper's own.
anchor,regime,mu_single,gate_loss_percent,fresh_gain,confidence_C,decision
seed2,clean-null,-5.53e-4,0.0%,0.1185,0.5,clean-banded
seed3,clean-null,-2.17e-4,2.7%,0.0789,0.5,clean-banded
seed4,clean-null,-2.74e-4,0.0%,0.1265,0.5,clean-banded
seed13,clean-null/gray,-1.17e-5,35.6%,0.1259,0.5,extend
seed1,clean-null,-8.03e-4,0.0%,0.0792,0.5,clean-banded
seed7,clean-null,-4.16e-4,0.0%,0.0715,1.0,clean-banded
seed5,mean-mismatch,+2.17e-4,100%,0.1129,0.0,sign-recover
seed8,mean-mismatch,+3.67e-4,100%,0.0631,0.0,sign-recover
seed6,mean-mismatch,+3.07e-4,100%,0.0639,0.0,sign-recover
seed9,sigma-mismatch,-8.67e-5,100%,0.1038,1.0,sign-recover
seed10,low-density,-1.64e-4,not used,0.0774,1.0,raw
