path,record_type,used_in,notes
data_tables/body/aggregate.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/contrast_a.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/contrast_b.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/decomposition.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/floor.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/gateaudit.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/mechanism.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/protocol.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/body/taxonomy.csv,processed_table,main,re-emission of a main-text table; numbers are the paper's own
data_tables/gate_loss_provenance.csv,processed_table,main,per-anchor gate-loss source assignment (mirrors tab:gateaudit)
data_tables/arm_inventory.csv,audit_artifact,main,measured policy-cell inventory for the arm-level low-gain audit; written by build_arm_inventory.py
data_tables/arm_inventory_summary.json,audit_artifact,main,"summary counts for the same inventory, including the threshold-rule and sign-gate cells below 0.01"
data_tables/null_control_strata.json,audit_artifact,main,per-cell low- vs high-scoring adjoint strata against their matched controls; written by analyze_strata_separation.py
data_tables/probe_pool_size_audit.json,audit_artifact,main,"probe-pool composition audit: modal patch size, its median share of positive probe mass, and the shift in the frozen loss when the pool is restricted to it; written by analyze_probe_pool_audit.py"
data_tables/p0_predictor_accuracy.json,audit_artifact,main,"phase-0 predictor accuracies on the current cohort, with the older twelve-anchor snapshot reproduced as a self-check; written by analyze_p0_predictors.py"
data_tables/floor_identity_audit.json,audit_artifact,main,"action-level check of the overlap identity: each recorded verdict against the threshold the rule applied, plus the steps whose applied floor is identically zero; written by analyze_floor_identity.py"
null_control_records/,control_records,main,"raw location-matched control records the strata test is computed from, one per anchor"
probe_records/,tomography_records,main,"71 trajectory.json; every probed dJ, accepted or not"
fresh_records/,fresh_simulation_records,main,50 fresh_sim*.json; independent device-level checks
floor_sweep_records/,floor_sweep_records,main,"8 records (result.json, fresh_sim.json, trajectory.json) for the paired floor-sweep arms behind the cost/loss numbers in the Discussion; a different run from the seed16 arms under fresh_records/ -- see the README"
panel_records/,panel_records,main,"per anchor, the frozen fixed-action panel and the S0 baseline measurement every checkpoint delta is differenced against"
route_cost_records/,boundary_comparison_records,main,"0 records: the two routed arms of the seed23 boundary comparison (result, fresh_sim, trajectory) and the readout of the criterion fixed before it ran, so the reported outcome is recomputable"
probe_readout_audit/,protocol_audit_records,main,"0 records: how the per-action readout settles (frozen and shuffled order), a replay of the probe's own twenty draws at two anchors, and the settled-protocol counterfactual, with the panels they are read against under panels/"
protocol/PROTOCOL.md,protocol_note,main,"the frozen protocol every record was produced under, stated once so the records can be read without the working notes"
scripts/,analysis_scripts,main,analysis and figure scripts; 20 files
lumerical/CANONICAL_PROJECT.md,provenance_note,main,source-built pipeline is canonical
lumerical/RUNBOOK.md,reproduction_runbook,main,clean-machine smoke-test record
lumerical/scripts/,simulation_source,main,orchestration and backend source (import closure of the two protocol instruments)
lumerical/wdm3_3d/,simulation_builder,main,21 scripts; programmatic 3D FDTD construction and readout
lumerical/warmstart_params/final_params.csv,initial_state_records,main,"37 anchors x 8000 final params, one row per anchor"
